Reviews,Price,Installs,Size,Paid,Adults,Everyone,Mature,Teen,Unrated,Android Version,Rating
223,0,"100,000",4.2000000,0,0,1,0,0,0,2.3,4.1
1120,0,"100,000",9.2000000,0,0,1,0,0,0,4.0,4.2
227,0,"50,000",5.2000000,0,0,1,0,0,0,2.3,4.1
5035,0,"100,000",11000000,0,0,1,0,0,0,4.0,4.5
1015,0,"100,000",11000000,0,0,1,0,0,0,4.1,4.2
353,0,"10,000",4.2000000,0,0,0,0,1,0,4.1,4.7
564,0,"100,000",9.2000000,0,0,1,0,0,0,4.1,3.8
8145,0,"500,000",24000000,0,0,1,0,0,0,4.4,4.7
158,0,"10,000",11000000,0,0,1,0,0,0,4.0,4.7
591,0,"500,000",9.4000000,0,0,1,0,0,0,4.0,4
117,0,"10,000",15000000,0,0,1,0,0,0,4.0,4.2
176,0,"100,000",10000000,0,0,1,0,0,0,4.0,4.5
2206,0,"100,000",1.2000000,0,0,1,0,0,0,4.1,3.8
26,0,"10,000",12000000,0,0,1,0,0,0,4.1,4.2
174531,0,"10,000,000",24000000,0,0,1,0,0,0,4.1,4.7
1070,0,"100,000",26000000,0,0,1,0,0,0,4.1,4.6
85,0,"100,000",8.0000000,0,0,1,0,0,0,4.1,4.2
845,0,"100,000",7.9000000,0,0,1,0,0,0,2.3,4.3
367,0,"100,000",25000000,0,0,1,0,0,0,4.0,4.2
1598,0,"1,000,000",56000000,0,0,1,0,0,0,4.1,4
284,0,"100,000",57000000,0,0,1,0,0,0,4.1,3.8
129,0,"100,000",35000000,0,0,1,0,0,0,4.1,3.9
542,0,"100,000",33000000,0,0,1,0,0,0,4.1,4.3
10479,0,"100,000",33000000,0,0,1,0,0,0,4.0,4.9
805,0,"50,000",5.6000000,0,0,1,0,0,0,4.4,4.4
129,0,"100,000",54000000,0,0,1,0,0,0,4.1,4.2
1403,0,"100,000",201000,0,0,1,0,0,0,2.2,4
3971,0,"100,000",3.6000000,0,0,1,0,0,0,4.4,3.9
534,0,"10,000",5.7000000,0,0,1,0,0,0,4.0,4.6
7774,0,"100,000",17000000,0,0,1,0,0,0,4.2,4.9
38846,0,"1,000,000",8.6000000,0,0,1,0,0,0,4.1,4.3
2431,0,"100,000",2.4000000,0,0,1,0,0,0,4.0,4.6
6090,0,"100,000",27000000,0,0,1,0,0,0,4.2,4.9
295,0,"10,000",2.7000000,0,0,1,0,0,0,4.4,3.9
190,0,"50,000",2.5000000,0,0,1,0,0,0,2.3,4
52530,0,"5,000,000",7.0000000,0,0,1,0,0,0,4.0,4.2
116986,0,"5,000,000",35000000,0,0,1,0,0,0,4.0,4.8
1379,0,"500,000",16000000,0,0,1,0,0,0,4.2,3.6
271920,0,"10,000,000",16000000,0,0,0,0,1,0,5.0,4.2
7021,0,"500,000",17000000,0,0,1,0,0,0,4.0,4.8
197,0,"50,000",3.4000000,0,0,1,0,0,0,4.0,4.6
737,0,"100,000",8.9000000,0,0,1,0,0,0,4.1,4.5
3574,0,"1,000,000",3.9000000,0,0,1,0,0,0,4.0,4.3
994,0,"100,000",2.9000000,0,0,1,0,0,0,4.1,4.5
197136,0,"1,000,000",38000000,0,0,1,0,0,0,4.1,4.9
142,0,"50,000",32000000,0,0,1,0,0,0,6.0,3.9
15168,0,"1,000,000",37000000,0,0,1,0,0,0,4.2,4.4
2155,0,"500,000",15000000,0,0,1,0,0,0,5.0,4
138,0,"100,000",5.4000000,0,0,1,0,0,0,4.0,4.3
5414,0,"1,000,000",18000000,0,0,1,0,0,0,4.4,3.7
348,0,"100,000",38000000,0,0,1,0,0,0,2.3,4.3
250,0,"100,000",1.1000000,0,0,1,0,0,0,4.0,3.2
3617,0,"100,000",7.9000000,0,0,1,0,0,0,4.1,4.5
4806,0,"1,000,000",35000000,0,0,1,0,0,0,4.0,3.7
31433,0,"1,000,000",17000000,0,0,1,0,0,0,4.0,4.6
5097,0,"1,000,000",19000000,0,0,1,0,0,0,4.0,4.6
1754,0,"500,000",14000000,0,0,1,0,0,0,4.0,4
2680,0,"500,000",2.2000000,0,0,1,0,0,0,4.0,4.4
1288,0,"100,000",4.5000000,0,0,1,0,0,0,4.0,4
18900,0,"500,000",17000000,0,0,1,0,0,0,5.0,4.7
49790,0,"1,000,000",14000000,0,0,1,0,0,0,4.1,4.9
1150,0,"100,000",9.8000000,0,0,1,0,0,0,4.1,4.7
1739,0,"500,000",21000000,0,0,1,0,0,0,4.0,3.9
2225,0,"500,000",52000000,0,0,1,0,0,0,4.1,4.2
4369,0,"100,000",14000000,0,0,1,0,0,0,4.0,4.6
8572,0,"1,000,000",25000000,0,0,1,0,0,0,4.0,4.3
964,0,"50,000",9.0000000,0,0,1,0,0,0,4.2,4.7
104,0,"10,000",12000000,0,0,1,0,0,0,4.0,4.8
601,0,"100,000",35000000,0,0,1,0,0,0,4.0,4.3
36,0,"10,000",6.7000000,0,0,1,0,0,0,4.0,4.5
187,0,"50,000",30000000,0,0,0,0,1,0,4.0,4.1
30,0,"10,000",2.9000000,0,0,1,0,0,0,4.0,4.2
134,0,"10,000",17000000,0,0,1,0,0,0,4.0,4.5
74,0,"10,000",2.9000000,0,0,1,0,0,0,4.0,4.4
9315,0,"1,000,000",2.6000000,0,0,1,0,0,0,4.0,4.1
75,0,"50,000",4.2000000,0,0,1,0,0,0,4.0,4.4
38,0,"10,000",7.1000000,0,0,1,0,0,0,4.0,4.6
26834,0,"1,000,000",57000000,0,0,1,0,0,0,5.0,4.5
2277,0,"500,000",22000000,0,0,1,0,0,0,4.0,3.9
2280,0,"500,000",24000000,0,0,1,0,0,0,4.0,4.4
184,0,"10,000",21000000,0,0,1,0,0,0,4.1,4.6
9,0,"5,000",3.4000000,0,0,1,0,0,0,4.0,3.8
364,0,"100,000",6.4000000,0,0,1,0,0,0,4.0,4
18,0,"5,000",3.2000000,0,0,1,0,0,0,4.0,4.3
473,0,"100,000",8.2000000,0,0,0,1,0,0,1.6,4.5
66,0,"10,000",2.9000000,0,0,1,0,0,0,4.0,4.1
3871,0,"1,000,000",23000000,0,0,1,0,0,0,4.0,3.7
257,0,"50,000",4.6000000,0,0,1,0,0,0,4.0,4.7
62,0,"10,000",3.1000000,0,0,1,0,0,0,4.0,4.2
1857,0,"50,000",4.9000000,0,0,1,0,0,0,4.4,4.5
4478,0,"100,000",9.5000000,0,0,1,0,0,0,4.0,4.6
418,0,"100,000",4.2000000,0,0,1,0,0,0,4.1,4.5
22486,0,"1,000,000",5.4000000,0,0,0,0,1,0,4.0,4.4
1435,0,"500,000",2.8000000,0,0,1,0,0,0,4.0,4.6
116507,0,"1,000,000",5.0000000,0,0,0,0,1,0,4.0,4.8
90468,0,"5,000,000",5.9000000,0,0,1,0,0,0,2.3,4.6
860,0,"100,000",13000000,0,0,1,0,0,0,4.0,4.2
363934,0,"10,000,000",7.1000000,0,0,1,0,0,0,4.1,4.1
967,0,"500,000",6.7000000,0,0,1,0,0,0,4.0,4.7
17506,0,"1,000,000",17000000,0,0,1,0,0,0,4.1,4.3
1862,0,"1,000,000",19000000,0,0,1,0,0,0,4.1,3.3
2084,0,"500,000",6.7000000,0,0,1,0,0,0,2.3,4.6
47303,0,"1,000,000",21000000,0,0,1,0,0,0,4.1,4.8
85842,0,"5,000,000",37000000,0,0,1,0,0,0,4.0,4.1
7831,0,"100,000",15000000,0,0,0,0,1,0,4.0,4.6
91615,0,"5,000,000",23000000,0,0,0,1,0,0,4.1,4.1
4620,0,"500,000",19000000,0,0,1,0,0,0,4.0,4.6
21336,0,"1,000,000",23000000,0,0,1,0,0,0,3.0,4.7
26875,0,"500,000",73000000,0,0,1,0,0,0,4.0,4.5
1778,0,"500,000",4.9000000,0,0,0,1,0,0,2.1,3.9
2709,0,"1,000,000",6.8000000,0,0,1,0,0,0,4.4,4.4
527,0,"100,000",2.9000000,0,0,1,0,0,0,4.0,4.5
1322,0,"100,000",3.5000000,0,0,1,0,0,0,4.0,4.4
1680,0,"100,000",4.0000000,0,0,1,0,0,0,4.0,3.4
2739,0,"50,000",21000000,0,0,1,0,0,0,3.0,4.9
1065,0,"500,000",2.3000000,0,0,1,0,0,0,3.0,4.6
8788,0,"1,000,000",10000000,0,0,1,0,0,0,4.0,4.4
51269,0,"1,000,000",6.1000000,0,0,1,0,0,0,4.2,4.4
30105,0,"1,000,000",2.1000000,0,0,1,0,0,0,4.0,4.4
156,0,"500,000",42000000,0,0,1,0,0,0,2.2,3.5
341157,0,"10,000,000",30000000,0,0,1,0,0,0,4.2,4.4
85185,0,"5,000,000",29000000,0,0,1,0,0,0,5.0,4.3
1002861,0,"100,000,000",35000000,0,0,1,0,0,0,4.1,4.3
16589,0,"1,000,000",9.1000000,0,0,1,0,0,0,4.0,3.9
148945,0,"1,000,000",25000000,0,0,1,0,0,0,5.0,4.8
4458,0,"500,000",3.9000000,0,0,1,0,0,0,4.1,4.5
62272,0,"10,000,000",18000000,0,0,1,0,0,0,4.1,4.4
8941,0,"5,000,000",12000000,0,0,1,0,0,0,4.0,4
46353,0,"1,000,000",21000000,0,0,1,0,0,0,1.5,4.3
30847,0,"5,000,000",55000000,0,0,1,0,0,0,4.1,4.2
188841,0,"5,000,000",3.2000000,0,0,1,0,0,0,4.0,4.6
4034,0,"100,000",23000,0,0,1,0,0,0,2.2,3.1
45964,0,"1,000,000",16000000,0,0,1,0,0,0,4.1,3.9
6903,0,"1,000,000",14000000,0,0,1,0,0,0,4.1,4.1
31614,0,"10,000,000",37000000,0,0,1,0,0,0,4.0,4.4
207372,0,"5,000,000",11000000,0,0,1,0,0,0,4.0,4.5
1225,0,"100,000",25000000,0,0,1,0,0,0,4.1,4.4
380837,0,"10,000,000",7.3000000,0,0,1,0,0,0,4.2,4.4
10600,0,"1,000,000",6.5000000,0,0,1,0,0,0,4.0,4.3
74359,0,"1,000,000",25000000,0,0,1,0,0,0,4.0,4.4
822,0,"100,000",3.1000000,0,0,1,0,0,0,4.0,4.6
2287,0,"1,000,000",1.5000000,0,0,1,0,0,0,2.2,4.4
4162,0,"100,000",7.5000000,0,0,1,0,0,0,4.0,4.7
14760,0,"50,000,000",8.6000000,0,0,1,0,0,0,7.0,3.8
286897,0,"10,000,000",39000000,0,0,1,0,0,0,3.0,4.7
103755,0,"10,000,000",14000000,0,0,1,0,0,0,4.1,4.5
46505,0,"1,000,000",19000000,0,0,1,0,0,0,4.1,4.2
11442,4.99,"100,000",6.8000000,1,0,1,0,0,0,4.0,4.7
10295,4.99,"100,000",39000000,1,0,1,0,0,0,3.0,4.8
296,0,"50,000",14000000,0,0,1,0,0,0,4.1,4.2
29313,0,"5,000,000",20000000,0,0,1,0,0,0,4.0,4.3
1802,0,"100,000",26000000,0,0,1,0,0,0,4.2,4.1
1383,0,"100,000",51000000,0,0,1,0,0,0,5.0,3.8
23175,0,"1,000,000",41000000,0,0,1,0,0,0,4.1,4.3
5868,0,"500,000",20000000,0,0,1,0,0,0,4.1,3.8
5448,0,"500,000",12000000,0,0,1,0,0,0,5.0,4.1
4159,0,"500,000",48000000,0,0,1,0,0,0,4.0,4.6
20815,0,"1,000,000",10000000,0,0,1,0,0,0,5.0,4.3
78662,0,"1,000,000",22000000,0,0,1,0,0,0,4.4,4.5
7149,0,"1,000,000",11000000,0,0,1,0,0,0,4.0,4.1
3079,0,"100,000",8.5000000,0,0,1,0,0,0,4.1,4.5
5800,0,"100,000",8.6000000,0,0,1,0,0,0,4.1,4.6
16422,0,"1,000,000",28000000,0,0,1,0,0,0,4.1,4.2
108741,0,"10,000,000",28000000,0,0,1,0,0,0,4.3,4.4
31614,0,"10,000,000",37000000,0,0,1,0,0,0,4.0,4.4
624,0,"100,000",9.0000000,0,0,1,0,0,0,5.0,4
1661,0,"100,000",46000000,0,0,1,0,0,0,4.4,4.2
308,0,"50,000",14000000,0,0,1,0,0,0,4.0,4.1
5211,0,"1,000,000",26000000,0,0,1,0,0,0,4.0,3.8
1058,0,"500,000",23000000,0,0,1,0,0,0,5.0,3.9
296,0,"50,000",14000000,0,0,1,0,0,0,4.1,4.2
29313,0,"5,000,000",20000000,0,0,1,0,0,0,4.0,4.3
1802,0,"100,000",26000000,0,0,1,0,0,0,4.2,4.1
1383,0,"100,000",51000000,0,0,1,0,0,0,5.0,3.8
23175,0,"1,000,000",41000000,0,0,1,0,0,0,4.1,4.3
5868,0,"500,000",20000000,0,0,1,0,0,0,4.1,3.8
5448,0,"500,000",12000000,0,0,1,0,0,0,5.0,4.1
4159,0,"500,000",48000000,0,0,1,0,0,0,4.0,4.6
20815,0,"1,000,000",10000000,0,0,1,0,0,0,5.0,4.3
78662,0,"1,000,000",22000000,0,0,1,0,0,0,4.4,4.5
7149,0,"1,000,000",11000000,0,0,1,0,0,0,4.0,4.1
3079,0,"100,000",8.5000000,0,0,1,0,0,0,4.1,4.5
5800,0,"100,000",8.6000000,0,0,1,0,0,0,4.1,4.6
16422,0,"1,000,000",28000000,0,0,1,0,0,0,4.1,4.2
286897,0,"10,000,000",39000000,0,0,1,0,0,0,3.0,4.7
103755,0,"10,000,000",14000000,0,0,1,0,0,0,4.1,4.5
46505,0,"1,000,000",19000000,0,0,1,0,0,0,4.1,4.2
11442,4.99,"100,000",6.8000000,1,0,1,0,0,0,4.0,4.7
10295,4.99,"100,000",39000000,1,0,1,0,0,0,3.0,4.8
1002859,0,"100,000,000",35000000,0,0,1,0,0,0,4.1,4.3
413,0,"10,000",29000000,0,0,1,0,0,0,5.0,4.5
23175,0,"1,000,000",41000000,0,0,1,0,0,0,4.1,4.3
24005,0,"500,000",4.9000000,0,1,0,0,0,0,4.1,4.6
57106,0,"1,000,000",27000000,0,0,0,0,1,0,4.1,4.7
2249,0,"500,000",32000000,0,0,1,0,0,0,4.0,4.7
516,0,"50,000",12000000,0,0,1,0,0,0,4.4,4.8
834,0,"50,000",15000000,0,0,0,1,0,0,4.1,3.9
1010,0,"50,000",11000000,0,0,0,1,0,0,4.1,4.1
238970,0,"1,000,000",28000000,0,0,0,0,1,0,5.0,4.4
302,0,"10,000",2.2000000,0,0,0,0,1,0,4.0,4.6
438,0,"10,000",3.4000000,0,0,1,0,0,0,2.3,4.5
73,0,"10,000",8.3000000,0,0,1,0,0,0,4.0,4.7
39,0,"10,000",4.3000000,0,0,1,0,0,0,4.2,4.4
144,0,"10,000",4.7000000,0,0,1,0,0,0,4.0,4.5
93965,0,"5,000,000",15000000,0,0,0,0,1,0,4.0,3.2
1446,0,"100,000",7.1000000,0,0,0,1,0,0,4.0,3.2
12088,0,"1,000,000",21000000,0,0,0,1,0,0,4.0,4.1
314,0,"100,000",6.1000000,0,0,1,0,0,0,4.1,4.5
15194,0,"1,000,000",15000000,0,0,0,0,1,0,4.2,4.2
22551,0,"1,000,000",11000000,0,0,0,0,1,0,4.4,3.7
29839,0,"1,000,000",29000000,0,0,0,0,1,0,4.4,4.5
279,0,"100,000",3.3000000,0,0,1,0,0,0,4.0,4.6
1677,0,"100,000",40000000,0,0,1,0,0,0,4.1,4.7
757,0,"10,000",10000000,0,0,0,0,1,0,4.1,4.4
115,0,"10,000",9.1000000,0,0,0,1,0,0,5.0,3.5
125,0,"5,000",4.7000000,0,0,0,0,1,0,4.0,3.3
9952,0,"500,000",38000000,0,0,1,0,0,0,4.1,4.5
21,0,"5,000",6.7000000,0,0,1,0,0,0,4.0,4.2
15,0,"1,000",37000000,0,0,1,0,0,0,4.0,5
3596,0,"10,000",7.8000000,0,0,0,0,1,0,4.0,4.7
1006,0,"50,000",19000000,0,0,1,0,0,0,4.0,4.4
5968,0,"1,000,000",5.7000000,0,0,1,0,0,0,4.0,4.4
4895,0,"100,000",35000000,0,0,1,0,0,0,4.4,4.6
125257,0,"10,000,000",17000000,0,0,0,0,1,0,4.1,4.3
158679,0,"5,000,000",8.8000000,0,0,1,0,0,0,4.4,4.3
4187998,0,"100,000,000",16000000,0,0,1,0,0,0,4.4,4.3
659395,0,"100,000,000",11000000,0,0,1,0,0,0,4.0,4.3
4785892,0,"500,000,000",11000000,0,0,1,0,0,0,4.0,4.3
30209,0,"5,000,000",15000000,0,0,1,0,0,0,4.1,4.3
36901,0,"5,000,000",6.6000000,0,0,1,0,0,0,4.0,4
192948,0,"10,000,000",6.6000000,0,0,1,0,0,0,4.0,4.3
13698,0,"10,000,000",5.1000000,0,0,1,0,0,0,4.1,3.9
20769,0,"1,000,000",18000000,0,0,1,0,0,0,4.1,3.6
36880,0,"1,000,000",4.0000000,0,0,1,0,0,0,5.0,4.4
615381,0,"10,000,000",37000000,0,0,0,1,0,0,4.0,4.4
33053,0,"5,000,000",22000000,0,0,1,0,0,0,4.0,4.2
3648120,0,"100,000,000",3.3000000,0,0,0,0,1,0,4.0,4.4
136662,0,"10,000,000",32000000,0,0,1,0,0,0,4.0,4.4
42370,0,"1,000,000",37000000,0,0,1,0,0,0,5.0,3.9
2939,0,"100,000",17000000,0,0,1,0,0,0,4.1,4.4
40751,0,"10,000,000",35000000,0,0,0,0,1,0,4.0,3.9
17712922,0,"500,000,000",40000000,0,0,0,0,1,0,4.0,4.5
25021,0,"5,000,000",61000000,0,0,1,0,0,0,4.3,3.7
27187,0,"5,000,000",66000000,0,0,1,0,0,0,4.4,4.3
4785988,0,"500,000,000",11000000,0,0,1,0,0,0,4.0,4.3
122498,0,"10,000,000",79000,0,0,1,0,0,0,4.0,4
132014,0,"10,000,000",25000000,0,0,1,0,0,0,4.2,4.1
83239,0,"5,000,000",14000000,0,0,1,0,0,0,4.0,4.2
2876500,0,"100,000,000",24000000,0,0,1,0,0,0,4.0,4.4
28238,0,"1,000,000",17000000,0,0,1,0,0,0,2.3,4.1
335646,0,"10,000,000",8.3000000,0,0,1,0,0,0,2.3,4.3
349384,0,"10,000,000",8.2000000,0,0,1,0,0,0,4.0,4.5
37320,0,"1,000,000",8.4000000,0,0,1,0,0,0,4.0,4.3
36893,0,"1,000,000",4.0000000,0,0,1,0,0,0,5.0,4.4
15880,0,"1,000,000",32000000,0,0,1,0,0,0,4.0,4.2
2264916,0,"50,000,000",6.1000000,0,0,1,0,0,0,4.0,4.6
42925,0,"1,000,000",2.8000000,0,0,1,0,0,0,2.3,4.2
3648480,0,"100,000,000",3.3000000,0,0,0,0,1,0,4.0,4.4
17714850,0,"500,000,000",40000000,0,0,0,0,1,0,4.0,4.5
13100,0,"1,000,000",2.2000000,0,0,1,0,0,0,4.0,4.1
55098,0,"1,000,000",4.3000000,0,0,1,0,0,0,4.0,4.1
1133501,0,"10,000,000",4.7000000,0,0,1,0,0,0,4.0,4.3
12578,0,"500,000",2.3000000,0,0,1,0,0,0,4.0,4.1
10965,0,"500,000",2.3000000,0,0,1,0,0,0,3.0,4.2
190613,0,"10,000,000",11000000,0,0,1,0,0,0,4.0,4.2
125232,0,"10,000,000",2.7000000,0,0,1,0,0,0,2.1,4.2
83239,0,"5,000,000",14000000,0,0,1,0,0,0,4.0,4.2
72065,0,"1,000,000",13000000,0,0,1,0,0,0,4.0,4.3
27540,0,"1,000,000",3.7000000,0,0,1,0,0,0,4.0,4.4
104990,0,"5,000,000",10000000,0,0,1,0,0,0,4.0,4.2
177703,0,"10,000,000",13000000,0,0,0,1,0,0,5.0,4.4
17529,0,"1,000,000",10000000,0,0,1,0,0,0,4.0,4.1
177263,0,"10,000,000",13000000,0,0,0,1,0,0,5.0,4.2
237468,0,"1,000,000",8.8000000,0,0,1,0,0,0,4.0,4.8
32254,0,"1,000,000",5.5000000,0,0,1,0,0,0,2.1,4.4
483565,0,"10,000,000",20000000,0,0,1,0,0,0,4.1,4.4
552441,0,"10,000,000",29000000,0,0,1,0,0,0,4.1,4.4
93825,0,"5,000,000",11000000,0,0,1,0,0,0,4.1,4.4
15287,0,"1,000,000",17000000,0,0,1,0,0,0,4.0,4.2
205739,0,"5,000,000",17000000,0,0,1,0,0,0,4.1,4.5
9498,0,"1,000,000",118000,0,0,1,0,0,0,2.3,4
4188142,0,"100,000,000",16000000,0,0,1,0,0,0,4.4,4.3
88427,0,"5,000,000",5.1000000,0,0,1,0,0,0,4.0,4.2
183374,0,"1,000,000",44000000,0,0,1,0,0,0,4.1,4.6
20901,0,"1,000,000",7.3000000,0,0,1,0,0,0,4.1,4.1
122595,0,"1,000,000",30000000,0,0,1,0,0,0,5.0,4
124346,0,"10,000,000",695000,0,0,1,0,0,0,2.0,4.2
255,0,"10,000",1.6000000,0,0,1,0,0,0,2.2,4.1
41420,0,"5,000,000",19000000,0,0,1,0,0,0,4.0,4.3
4785988,0,"500,000,000",11000000,0,0,1,0,0,0,4.0,4.3
29208,0,"1,000,000",23000000,0,0,1,0,0,0,2.3,4.1
191032,0,"5,000,000",26000000,0,0,1,0,0,0,4.0,4.6
57,6.99,"1,000",6.2000000,1,0,1,0,0,0,4.0,2.6
2,7.99,100,17000000,1,0,0,1,0,0,4.0,3.5
285726,0,"10,000,000",15000000,0,0,0,1,0,0,4.1,4.1
2556,0,"100,000",56000000,0,0,0,1,0,0,4.1,4.1
7779,0,"500,000",12000000,0,0,0,1,0,0,5.0,4.2
61637,0,"5,000,000",11000000,0,0,0,1,0,0,4.1,4.5
12632,0,"1,000,000",29000000,0,0,0,1,0,0,4.1,4.4
48845,0,"1,000,000",40000000,0,0,0,1,0,0,4.4,4
31320,0,"5,000,000",53000000,0,0,0,1,0,0,4.1,3.1
172460,0,"5,000,000",3.1000000,0,0,0,1,0,0,4.0,4.4
4195,0,"100,000",24000000,0,0,0,1,0,0,4.4,4.2
11633,0,"500,000",23000000,0,0,0,1,0,0,4.1,4.1
10212,0,"1,000,000",5.0000000,0,0,0,1,0,0,4.4,3.9
37053,0,"1,000,000",44000000,0,0,0,1,0,0,4.1,4.3
667,0,"10,000",27000000,0,0,0,1,0,0,4.1,4.4
13202,0,"1,000,000",6.1000000,0,0,0,1,0,0,4.1,3.5
1157,0,"100,000",21000000,0,0,0,1,0,0,4.2,3.3
212626,0,"10,000,000",11000000,0,0,0,1,0,0,4.1,4.5
222888,0,"1,000,000",21000000,0,0,0,1,0,0,4.1,4.4
2067,0,"100,000",24000000,0,0,0,1,0,0,4.4,4.1
1643,0,"500,000",31000000,0,0,0,1,0,0,4.1,3.9
105,0,"5,000",27000000,0,0,0,1,0,0,4.4,3.9
3414,0,"500,000",6.2000000,0,0,0,1,0,0,4.1,3.6
11806,0,"1,000,000",12000000,0,0,0,1,0,0,4.0,3.6
1999,0,"100,000",8.0000000,0,0,0,1,0,0,4.2,3.4
22544,0,"1,000,000",5.9000000,0,0,0,1,0,0,4.0,4.2
97684,0,"1,000,000",7.9000000,0,0,0,1,0,0,4.0,4.1
2519,0,"100,000",5.0000000,0,0,0,1,0,0,4.4,3.4
1146,0,"100,000",1.4000000,0,0,0,1,0,0,4.0,3
13046,0,"500,000",13000000,0,0,0,1,0,0,4.1,4.6
17268,0,"500,000",40000000,0,0,0,1,0,0,4.0,4.1
8722,0,"500,000",13000000,0,0,0,1,0,0,4.1,3.9
953,0,"100,000",19000000,0,0,0,1,0,0,5.0,1.9
2593,0,"500,000",5.0000000,0,0,0,1,0,0,4.4,3.5
5377,0,"500,000",19000000,0,0,0,1,0,0,4.0,2.5
852,0,"100,000",27000000,0,0,0,1,0,0,4.1,3.9
212,0,"50,000",3.0000000,0,0,0,1,0,0,5.0,3.4
1972,0,"1,000,000",13000000,0,0,0,1,0,0,4.1,3.5
35206,0,"1,000,000",7.2000000,0,0,1,0,0,0,4.0,4.4
5164,0,"100,000",25000000,0,0,0,1,0,0,4.0,3.8
277,0,"100,000",5.7000000,0,0,0,1,0,0,4.1,2.5
80,0,"10,000",5.5000000,0,0,0,0,1,0,4.0,2.8
40035,0,"1,000,000",6.5000000,0,0,0,1,0,0,4.0,4.2
1093,0,"100,000",5.8000000,0,0,0,1,0,0,4.2,3.5
1601,0,"500,000",3.8000000,0,0,0,1,0,0,4.1,3.3
2212,0,"100,000",41000000,0,0,0,1,0,0,4.0,4.1
57081,0,"1,000,000",7.9000000,0,0,0,1,0,0,4.0,4.2
241,0,"50,000",2.8000000,0,0,0,1,0,0,5.0,3.5
63986,0,"5,000,000",20000000,0,0,0,1,0,0,4.0,4.2
7888,0,"500,000",15000000,0,0,0,1,0,0,4.1,4.4
535,0,"100,000",28000000,0,0,0,1,0,0,4.1,4.1
5084,0,"100,000",9.6000000,0,0,0,1,0,0,4.1,4.2
285726,0,"10,000,000",15000000,0,0,0,1,0,0,4.1,4.1
48845,0,"1,000,000",40000000,0,0,0,1,0,0,4.4,4
2556,0,"100,000",56000000,0,0,0,1,0,0,4.1,4.1
7779,0,"500,000",12000000,0,0,0,1,0,0,5.0,4.2
837,0,"100,000",9.4000000,0,0,0,1,0,0,4.4,3
12632,0,"1,000,000",29000000,0,0,0,1,0,0,4.1,4.4
61637,0,"5,000,000",11000000,0,0,0,1,0,0,4.1,4.5
5377,0,"500,000",19000000,0,0,0,1,0,0,4.0,2.5
11633,0,"500,000",23000000,0,0,0,1,0,0,4.1,4.1
738,0,"10,000",27000000,0,0,0,1,0,0,4.1,4
953,0,"100,000",19000000,0,0,0,1,0,0,5.0,1.9
4631,0,"100,000",45000000,0,0,0,1,0,0,5.0,3.3
222888,0,"1,000,000",21000000,0,0,0,1,0,0,4.1,4.4
17268,0,"500,000",40000000,0,0,0,1,0,0,4.0,4.1
5164,0,"100,000",25000000,0,0,0,1,0,0,4.0,3.8
4953,0,"1,000,000",15000000,0,0,0,0,1,0,4.2,4.1
4195,0,"100,000",24000000,0,0,0,1,0,0,4.4,4.2
212626,0,"10,000,000",11000000,0,0,0,1,0,0,4.1,4.5
1439,0,"50,000",38000000,0,0,0,1,0,0,4.2,3.7
1645,0,"500,000",31000000,0,0,0,1,0,0,4.1,3.9
13204,0,"1,000,000",6.1000000,0,0,0,1,0,0,4.1,3.5
